img_path,seq
data/NER_data/twitter2015_images/0.jpg,a close up of a black and white background
data/NER_data/twitter2015_images/1000046.jpg,a close up of a person wearing a hat and a tie
data/NER_data/twitter2015_images/1000120.jpg,a man is standing in front of a mirror
data/NER_data/twitter2015_images/10005.jpg,a picture of a man flying a kite
data/NER_data/twitter2015_images/1001621.jpg,there is a sign that is on the side of the building
data/NER_data/twitter2015_images/1001683.jpg,a person sitting on a chair in a room
data/NER_data/twitter2015_images/1001880.jpg,a man with a beard is wearing a tie
data/NER_data/twitter2015_images/1002711.jpg,a woman in a dress shirt and tie
data/NER_data/twitter2015_images/1002916.jpg,a close up of a pair of scissors
data/NER_data/twitter2015_images/1003283.jpg,a close up of a street sign with a sky background
data/NER_data/twitter2015_images/1003370.jpg,a man wearing a tie standing in front of a christmas tree
data/NER_data/twitter2015_images/1004021.jpg,a close up of a person wearing a tie
data/NER_data/twitter2015_images/1004100.jpg,a man with a beard and a tie
data/NER_data/twitter2015_images/1004143.jpg,a picture of a person standing in front of a window
data/NER_data/twitter2015_images/1004489.jpg,a man standing in front of a bunch of bananas
data/NER_data/twitter2015_images/1004719.jpg,a black piece of luggage sitting on top of a table
data/NER_data/twitter2015_images/1004884.jpg,a close up of a person wearing a tie
data/NER_data/twitter2015_images/1005255.jpg,a close up of a cat laying on a blanket
data/NER_data/twitter2015_images/1005771.jpg,a group of men standing on top of a field
data/NER_data/twitter2015_images/1005776.jpg,a green and white sign that says <unk>
data/NER_data/twitter2015_images/1005848.jpg,a green and white sign that says <unk>
data/NER_data/twitter2015_images/1005869.jpg,a picture of a woman in a red tie
data/NER_data/twitter2015_images/1005945.jpg,a close up of a man wearing a tie
data/NER_data/twitter2015_images/1006468.jpg,a green and white sign that says <unk>
data/NER_data/twitter2015_images/1006665.jpg,a statue of a man in a hat
data/NER_data/twitter2015_images/1006731.jpg,a picture of a woman in a dark room
data/NER_data/twitter2015_images/1006802.jpg,a close up of a person wearing a jacket and a tie
data/NER_data/twitter2015_images/1006974.jpg,a woman in a green dress holding a cell phone
data/NER_data/twitter2015_images/1007125.jpg,a man is wearing a suit and tie
data/NER_data/twitter2015_images/1007126.jpg,a close up of a sign that reads <unk>
